CommonName,BotanicalName,Family,PlantType,MatureSize,SunExposure,SoilType,SoilpH,BloomTime,FlowerColor,HardinessZones,NativeArea,Toxicity,NativeAreas,CommonNames,Commonname,Size,HardinessZone,NativeRange,FamilyName,ScientificName,FlowerColors,BotanicalNames,Botanicaname,Planttype,Maturesize,Sunexposure,Soiltype,Bloomtime,Flowercolor,Hardinesszones,Nativearea,BloomColor,USDAHardinessZone,USDAHardinessZones,Toxicity:,,"Mizunakyona,shuicai","5to7incheshigh,10to15incheswide","Well-drained,richsoil",Spring(nottypicallygrownforflowers),4to9,Botanicalname,GrowingTime,Commonnames,Phyllostachysaurea,LightExposure,GrowingZones,CommonName:,BotanicalName:,Family:,PlantType:,Size:,SunExposure:,SoilType:,SoilpH:,BloomTime:,HardinessZones:,NativeArea:,Dracaenatrifasciata(formerlySansevieriatrifasciata),"Evergreen,perennial",Shadetopartialsun,Slightlyacidictoslightlyalkaline,White,WestAfrica(tropical),BotaicalName,SoilNeeds,PlantTypes,Nativerange,BontanicalName,Soilp,Toxicty,otanicalName,NativeAreaEastern,GrowingMedia,LeafColor,ParrotTulip,"5inchesacross,15-20inchstems","Chalky,loamy,andsandysoil",Spring,4-7,PlantFamily,WaterpH,BoomTime,WaterType,Soil,PlantSize,USDAhardinesszone,SunType,Zones,BloomTIme,Parthenocissusquinquefolia,"Perennial,Vine","Full,Partial,Shade",Neutraltoacidic(5.1to7.3),Greenishwhite,EasternandCentralUnitedStates,USDAPlantHardinessZones,SoilpHN,Flower,Flower(Bract)Color,BotanialName,url,Water
"Blackberry lily, leopard lily",Null,Iridaceae,"Herbaceous, perennial","2–3 ft. tall, 9–24 in. wide",Full,Well-drained,"Acidic, neutral, alkaline",Summer,"Orange, yellow, red",5–10 (USDA),Asia,"Toxic to humans2﻿﻿﻿﻿, toxic to pets 1",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Iris domestica,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/blackberry-lily-plant-profile-4768397,"While blackberry lilies respond to regular watering by producing larger, healthier blooms, they are also drought tolerant. Dry winter soils are ideal. Err on the side of less water, not more. If your garden is getting rain every week or two, extra irrigation is rarely necessary. During drought periods, 1/2 inch per week is entirely adequate. Water should be cut back during the dormant winter months to discourage root rot."
"Black-eyed Susan, brown Betty, Marguerite Jaune, hairy coneflower",Rudbeckia hirta,Asteraceae,Short-lived Perennial,"2-3 ft. tall, 1-2 ft. wide",Full,"Moist, well-drained","Acidic, neutral","Summer, fall","Yellow, orange, red",3-9 (USDA),North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/choosing-and-growing-black-eyed-susan-1402860,"Keep the plants well-watered their first season to get them established—an inch per week through rainfall or irrigation is sufficient. Once established, they will be drought-resistant."
Carrot,Daucus carota,Apiaceae or Umbelliferae,Vegetable,Null,Full sun to part shade,"Loose, well-draining soil",Slightly acidic (6.0–6.8),Spring (second growing season),Null,3–10 (biennial grown as an annual),"Europe, Southwestern Asia",Null,Null,Null,Null,"6 to 12 inch root, 1 foot foliage height; 9 inch spread ",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-carrots-in-the-vegetable-garden-1403472,Water your carrots with at least one inch of water every week. Mulching will help conserve water and keep the soil cool.
"New York Ironweed, ironweed",Vernonia noveboracensis,Asteraceae,Herbaceous perennial,"4–7 ft. tall, 3–4 ft. wide",Full,"Rich, moist",Acidic (5.0 to 6.5); tolerates neutral soil,Late July to September,Purple,5–9 (USDA),Eastern and Southeastern North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/new-york-ironweed-plant-profile-5069722,"Because ironweed prefers moist soil, it will need at least 1 inch of water per week, and will readily tolerate even more. It will also do quite well in boggy, poorly draining soils where many other plants struggle."
"Skeleton flower, umbrella leaf, Asian umbrella leaf",Diphylleia grayi,Berberidaceae,"Perennial, herbaceous","12–18 in. tall, 1–3 ft. wide","Partial, full shade","Sandy, loamy",Acidic to neutral (4.5 to 7.0),Summer,White,4a–9b (USDA),"China, Japan",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/skeleton-flower-plant-profile-4802581,"Skeleton flower requires consistent moisture with naturally moist soil. During a dry spell, water it slowly and deeply, preferably by drip irrigation or soaker hoses."
"Caladium, elephant ears",Caladium,Araceae,Tropical perennial,"12–30 in. tall, 12–24 in. wide","Indirect light (indoors), full to partial shade (outdoors)","Rich, well-drained",Slightly acidic ,"Spring, summer, fall ","Green, pink, white, red",9–11 (USDA) ,"Central America, South America",Toxic to people and pets,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/how-to-grow-caladium-1902744,"When leaves appear on the plant, water as needed to keep the soil evenly moist. Never let the plant dry out, as leaves may yellow and drop. Stop watering the plant when the leaves start to die back. Resume watering in spring after winter dormancy. New leaves will reappear as temperatures warm."
Yoshino Cherry,Prunus × yedoensis,Null, Flowering tree," 30 ft. tall, 40 ft. wide", Full sun," Average, medium moisture, well-drained", 6.5 to 7.0, March to April, White to pink, USDA 5-8, Japan,Null,Null,Null,Null,Null,Null,Null,Rosaceae,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/yoshino-cherry-tree-growing-guide-5211964,Keeping your tree well irrigated is vital to its health and beauty. The Yoshino cherry is fast growing and will need a good amount of water.
Artemisia,Artemisia spp.,Asteraceae,"Herbaceous, perennial, shrub","1-5 feet tall, 1–10 feet wide",Full,Well-drained,"Acidic, neutral, alkaline","Summer, fall","White, yellow",3–10 (USDA),"Central America, Europe, North America, South America","Toxic to people, toxic to pets 1",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/artemisia-1402826,"As with most silver-leaved perennials, Artemisia plants are very drought tolerant, considered ideal for dry, sunny sites. They will need regular water until the plants are established, but they can take care of themselves after that. Except in prolonged drought, they rarely need supplemental watering."
Hawthorn,Crataegus spp.,Null,"Flowering tree, large shrub","15-50 ft. tall, 5-20 ft. wide",Full sun,"Moist, well-drained",Slightly acidic,"May, early June","White, pink",Varies by species,"Europe, Asia, North Africa, North America",Null,Null,Null,Null,Null,Null,Null,Rosaceae,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/hawthorn-tree-growing-guide-5196346,"Establishing your hawthorn will require you to provide it with plenty of moisture for the first two years or so. To do this, it's best to water it weekly. Figure out just how much to water your tree by measuring its diameter at your knee height with a set of calipers. Then give it 10 gallons per inch every week for the next two seasons, re-measuring every so often."
Null,Hakonechloa macra,Null,Perennial ornamental grass,"24 inches tall, 36 inch spread","Part shade, shade","Moist, well-drained soil",6.0 to 7.0 (acidic to neutral),Mid to late-summer,Yellow-green (insignificant),5 to 9,Moist cliffs and woodland areas of Japan,Null,Null,"Golden Japanese forest grass, Hakone grass",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/hakonechloa-macra-1402845,Keep this plant moist but not soggy. A thick layer of mulch around the base of the plant will help preserve soil moisture.
Blueberry,Vaccinium spp.,Ericaceae,"Fruit, perennial",Null,Full sun,"Sandy, well-drained",Acidic (4.0 to 5.2),Spring,Null,3–9 (USDA) (varies by species),North America,Null,Null,Null,Null,"One to eight feet tall, two to ten feet wide (varies by species)",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/growing-blueberries-1401960,Be sure the plants get a deep watering at least once per week. Blueberries are shallow-rooted and need at least a couple of inches of water each week (more during dry spells). You can also utilize an automatic irrigation system to ensure consistent water for your plants.
"Blushing philodendron, red-leaf philodendron, imperial red philodendron",Philodendron erubescens,Araceae,Perennial,"2-60 ft. long, 16 in. wide",Partial,"Well-drained, loamy","Neutral, acidic","Spring, summer",Red,10-11 (USDA),"Central America, South America",Toxic to people and pets,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/grow-phildendron-erubescens-indoors-1902575,"Water the plant when the surface of the soil is dry. P. erubescens is drought-tolerant, but it doesn't do well when overwatered, which can cause the plant to rot. If there is too much water, the leaves will begin to turn yellow. Opting for a pot with plenty of drainage holes combined with regular waterings is a great way to keep P. erubescens healthy."
Null,Pinus mugo,Null,Shrub,"2-5 ft. tall, 3-5 ft. wide","Full, partial",Well-drained,"Acidic, neutral, to alkaline",Null,Null,2 to 7 (USDA),Null,Null,Europe,"Mugo pine, Swiss mountain pine",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/mugo-pine-trees-2132064,"While your mugo pine is young, water as needed throughout summer so that the soil remains moist. Once established, mugo pines are moderately drought-tolerant and only need watering during prolonged periods of drought. Slowly it water at the base until the soil is deeply moistened but not soggy. Let the soil dry out before watering it again."
"Rainbow eucalyptus, rainbow gum, Mindanao gum",Eucalyptus deglupta,Myrtaceae,Tree,"Up to 100 ft. tall, 60 - 100 ft. wide",Full sun,Moist but well-drained,"Acid, Neutral",Varies,White,"10-11, USA",Malesia and Papuasia,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/rainbow-eucalyptus-tree-guide-5200997,"Although established rainbow eucalyptus trees can tolerate some drought, they need regular watering during their first year. The trees can't handle prolonged flooding or waterlogged conditions, but keeping them moist will encourage the trunk and the bark to swell, encouraging more defined color stripes. Mulching around the tree can help conserve moisture, but make sure you don't place the mulch up against the trunk."
Null,Platanus × acerifolia,Platanaceae,Tree,"75-100 ft. tall, 60-75 ft. wide","Full, partial","Loamy, sandy, clay","Acidic, neutral, alkaline",Spring,"Red (female), yellow, green (male)",5-9 (USDA),"North America, Asia",Null,Null,"London plantree, London plane, hybrid plane",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/london-plane-tree-growing-profile-3269340,"The tree has medium to high water requirements, depending on how much heat and sun it gets. It prefers consistently moist soil, but it does have some drought tolerance as well. Mulch around its base can help to retain soil moisture, but if there is an extended period with no rain the tree likely will need a good soaking with a hose at least every other week."
Angelica,Angelica archangelica ,Apiaceae,Herbaceous biennial,3 to 6 ft. tall,"Full sun, part shade","Rich, moist soil",Slightly acidic,June to August,"Green, White","Zones 4-7, USDA","Europe, Greenland, West Siberia",Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/angelica-plant-growing-guide-5195323,"If your angelica patch is not located in a place that receives consistent moisture from sufficient rainfall or run off, it is vital that you water the plant often. Your herb's soil should always be damp and cool to the touch but not drenched."
"Mexican Gem, Mexican Snowball, White Mexican Rose",Echeveria elegans,Null,Succulent,"6 to 8 inches tall, 12 inches wide",Full sun,"Sandy, well-drained",Acidic,"Spring, summer","Pink, yellow",Null,North America,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,9-11,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/mexican-snowballs-echeveria-elegans-profile-5120250,"Mexican snowballs are known for being drought-tolerant and you should avoid overwatering them at all costs. Generally, it is better to underwater a succulent than to overwater it. If needed, these succulents can survive months with little to no water. "
"Poison sumac, thunderwood, swamp sumac",Toxicodendron vernix,Null,Deciduous shrub or tree,"5–25 ft. tall, 5–20 ft. wide","Full sun, partial shade","Sandy, loamy, moist",Acidic,"Spring, summer",Yellowish-green,3–8 (USDA),North America,Toxic to people,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/poison-sumac-plant-identification-description-2132619,Null
"Dr. Ruppel clematis, Doctor Ruppel clematis, Dr. Ruppel virgin's bower",Clematis Dr. Ruppel,Null,Deciduous  perennial  flowering vine,12 feet tall,Full sun to partial sun,"Fertile, well-drained, and kept evenly moist",Neutral,June,Pink,4 to 8,Several regions across both the Northern Hemisphere and Southern Hemisphere,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,https://www.thespruce.com/pink-clematis-flowers-dr-ruppel-4122498,Null
